	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	0	74	100	26	0	0	0	0	123.2	292.8	239.2	216.6	366.8	380.6	232.8	224.4	311.6	185.6	111.2	723.2	1469.4	1318.6	1399	1307	1009.2	1444.6	1468.6	1216	1137.8	639.6	183.2	151	60	185.2	283.4	205.2	112.4	104.8	174.2	204.8	187	144	131	176	200	80	0	77	255	223
TSS_00004	199	23	0	75	263	538	478.68	327.8	357.84	228.2	100.48	146	300	185	0	13.68	98.32	369.32	533.48	606.28	995.32	1626.6	1468.8	484.12	60.52	198.56	152.68	98.32	167.88	197.12	123	239.88	1064.12	1633.72	2090.12	2026.4	1396.92	1370.52	976.32	576.48	658.52	643	548.08	646.16	947.68	698.84	251.24	171	123	100
TSS_00006	362.16	166.16	426.44	672.4	804.12	1651.8	2539.72	2746.48	2910.4	2953.72	2230.68	1373.2	1736.96	2595.6	2177	1196.08	727.8	413.08	364.68	566.64	382.2	38.8	0	0	0	12.92	98.08	87.08	36.92	100	65	0	52	100	48	53	100	124	386	930.52	1161.48	878.48	612.52	516.6	557.6	730.2	1070.4	1173.28	1187.2	1170.88
TSS_00011	243	243	106.44	235.56	293.56	83.44	0	34	106.16	167.76	187.88	260.76	520.48	547.48	352.6	321.24	612.52	1095.04	1417	1655.4	1774.64	1464.44	814.92	346.68	113.8	89.2	278.48	462.56	717.88	1022.52	1016.36	1071.36	1421.8	2122.92	2696.4	2151.2	1249.76	967.76	775.84	734.16	547.96	257.04	195.52	28.48	0	0	0	14	214	486
TSS_00014	0	0	0	0	0	0	0	0	12	100	150	310.2	805.4	889.2	368.2	304	476.4	449.4	538.8	573.6	600.2	622.6	349	69.4	197.6	181.6	2.4	0	0	48	108	169	192	148.6	293.4	449.4	625.6	707	599	550.6	873.4	1277.6	1217.8	1549.4	1835.8	1387.2	1512.8	1508.6	1100.8	1202
TSS_00016	2355.28	1782.2	1640.32	2261.6	2592.12	1446.76	1157.24	1281.8	1389.24	2116.72	2040.88	1924.44	1390.8	744.8	1235.92	2441.8	2746.36	2743.2	2719.8	3062.84	3194.8	2122.76	938.76	400.84	788.08	662.08	568.84	630.84	425.16	580.8	1065.2	1411	1571.04	1522.16	1210.28	1211.48	1499.32	1382.88	1064.04	634.68	430.12	454	391	306	310	463	308	265.88	430.6	682.04
TSS_00020	176.96	424.68	392.04	406.64	602.72	944.96	2259.36	3370.92	3272.28	2818.72	2219.92	2101	2371.76	2200.4	1885.44	1959	2524.8	3070.68	3635.6	3365.8	2372.84	1496.48	667.2	428.12	234.2	145.8	188.24	238.76	256.64	143.16	421.6	817.08	2022.52	2744.96	1872.2	1762.6	1713.52	1570.68	1401.2	526.88	108.96	138.48	272.52	270.4	516.6	633.12	251.88	119	130	215.32
TSS_00022	15.96	207.04	284.04	160.96	117	134.4	171.6	99.04	179.96	298.56	131.44	85.96	333.6	1601	3354.32	3415.64	3075.48	4223.56	3470.4	1370.92	929.72	502.92	36.48	0	0	0	0	0.24	248.76	399.76	258.24	227	435	1016.68	1773.84	2039.44	2169.96	1809.44	1057.28	876.36	802.76	1359.24	1218.16	279.56	219.28	274	458.08	760.72	898.12	903.56
TSS_00025	84.76	331.28	484.24	269.92	155.32	198.32	118.2	333.48	610.44	1033.72	1127.56	681.12	547.88	588.96	1256	1307.84	938.4	1214.4	1107.68	708.48	470.96	402.56	198.56	29.44	145	426	355	74	0	0	0	0	0	0	0	10	100	272.24	870.36	1566.12	1528.44	1195.88	902.36	1071.48	1529.68	1558.8	1433.64	1187.76	658.84	755.2
TSS_00028	134.4	263.2	168.8	32	0	0	0	102	200	98	49	100.2	174.8	199.8	76.2	45.2	332.8	511.8	367.2	199.2	588.2	905.4	414.6	199.6	297.2	138.8	0	0	56.6	537.4	704	883	1139	1010	1622.4	2093.2	1979.4	2037.8	1679.4	1131.8	892.8	648.8	357.4	259.2	335.4	347.2	727	1024.8	951	547.8
