	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_04553	96.4	68.6	200	192	249	247	51	63	107.68	448.4	767.24	392.92	128.76	195.68	170.32	176	217.44	657.08	1472.84	2229.12	3888.4	5803.8	7692.56	10614.7	12267.2	10968	8126.68	4908.36	2571.52	2001.36	2143.48	1541.56	469.92	426.08	2229.96	3871.72	3045.2	2614.2	2835.72	2065.36	1632.36	1929.6	2310.2	2145.68	1773.16	1039.68	415.72	406.92	233.68	0.76
TSS_04556	0	0	62	120	248.6	378.4	189.4	1.6	67	143	262	341	171	16	281.08	595.96	484.88	204.04	282.36	680.64	964.88	1546.2	1439.8	747.84	2478.08	5919.32	7446.12	5806.24	3905.84	4368.04	4180.44	1982.48	1025.2	1733.56	2456.96	2404.8	2343.72	2159.32	1770.64	1716.68	1338.84	974.28	893.48	547.6	107.68	13	0	34.32	246.36	358
TSS_04558	163.16	1.84	2	100	223	414.48	565.52	533.52	434.48	252	77	182	298	279.36	494.8	738.48	625.2	300.16	188.96	1066.96	4066.24	8041.84	9301.2	6347.28	3121.52	3931	6207.76	5785.88	5429.04	6680.92	6560.72	5071.04	3245.84	2097.8	1225.72	429.28	258	216	276	365	299	67	0.72	113.04	296.52	274.96	302.76	212	0	31
TSS_04560	83	160	251	294	265	146	34	0	25	100	75	84.28	215.52	215.76	508.36	960.4	1273.4	1686.84	2731.16	4323.64	5062.68	5845.64	6136.8	3213.36	1673.8	4631.44	6272.6	5015.2	4791.08	4905.48	3621.16	2589.12	1775.72	645.64	136.92	174.2	200.8	214.48	488.52	560.52	211.48	34	0	0	27	262.56	370.44	137.44	2.56	0
TSS_04567	129.92	200	298.32	362.68	214.68	100.32	59	0	30	100	127	216.12	539.56	1037.08	1217.16	1265.76	1958.56	3101.12	3659.48	3436.72	2745.2	3019.24	3617.56	1971.48	831.24	1343.16	1246.12	1214.64	2060.08	1953.12	1540.76	2062.92	2332.96	2596.76	2532.88	1184.6	368.76	720.76	1399.48	1927.24	2584.2	3364.76	3094.48	2266.84	1357.2	700.36	392.64	218	167.2	265.12
TSS_04568	196	124	4	22	128	178	147	200	125	172	538	967	1286	2233	2991	3026	4768	8555	11081	11585	11977	10845	6509	2079	1208	5678	8935	6588	3741	2085	1345	874	706	475	315	247	100	128	100	63	0	84	100	16	0	0	0	0	0	0
TSS_04573	52	179.12	359.88	461.88	288.76	214.36	369.36	409.2	434.44	486.88	633.92	1064.48	1126.08	929.92	1464.76	2175.96	2163.12	2799.56	2857.16	2180.44	5050.04	8743.92	8146.92	5947.36	3736.92	1440.8	1890.96	3446.04	2589.36	1541.2	1434.32	782.08	376.8	252.8	255.2	344.8	391.2	457.2	378.8	198.04	194.96	156.96	247.04	410	258	77	0	0	0.64	82.36
TSS_04574	0	0	0	0	0	0	0	0	0	129.36	535.64	599.64	327.56	482.2	648.64	1163.52	1832.88	1771.6	1759.52	3613	6579.48	6935.04	3704.64	929.64	806.4	2265.96	2939.48	2077.08	1505.12	1207.12	952.28	718.68	506.6	403.92	210.72	99.92	286.4	425.32	495.64	639.92	752.08	489.08	195.92	229.2	453.8	319.8	7.2	32	225.52	414.48
TSS_04584	99	200	101	0.68	92.32	100.36	184.64	205.96	123.04	93	0	2	100	98	56.44	188.08	586	2025.64	7344.2	12004.2	8789.44	3602.2	1656.08	768.4	520.84	2658.72	4640.44	3254.16	1727.84	1503.04	1469.04	1202.88	981.44	1143.68	667.6	542.52	1092.12	1334.48	1190.12	989.96	1197.52	1168.92	1034	890.28	556.88	492.72	386.16	130.16	3.84	0
TSS_04592	3018.72	1775.88	1293.68	1242.88	896.64	516.04	405.8	422.64	319.2	659.16	654.16	197.36	297.48	279.48	181.52	488	421	76	557.04	3731.16	6592.76	3906.84	550.2	241.8	1106.48	3895.92	3901.52	1024.28	178.8	961	2390.32	3220.6	3233.12	2998.32	2946.68	3095.48	2584.8	1391.88	750.28	432.72	108	0	0	0	2.72	94.24	209.92	293.16	187.36	12.6
TSS_04594	0	0	0	0	0	62.12	189.88	137.88	113.4	294.72	196.72	81.28	100	47	100	77	0	0	69	100	31	35	176	165	24	126	280	191	123.92	184.6	322.88	397.08	173.2	8.04	94.28	93.28	20.72	106.16	178.84	93.84	6.16	49	100	51	26.24	190.76	186.64	108.36	168.12	391.88
TSS_04598	56	0.48	119.52	340.68	1118.6	2449.56	2659.08	2928.84	2910.4	2115.8	3254.36	3193.56	1476.44	971.08	589.6	1686.04	3754.84	5160.76	6956.72	5660.88	4803.36	6233.84	4304.48	1799.68	2371.08	4286.04	4730.48	4470.72	5242	6452.92	6915.28	6854.44	4368.76	1098.88	421.8	395.8	104.04	177.16	299.16	122.84	0	0.76	171.6	805.88	828.4	235.36	164	158	36	0
TSS_04599	188.48	146.56	425.44	900.92	586.08	81	0	18	203	282	97	207.88	456.12	386.8	1993.6	5546.36	7031.2	6653.4	6172.52	4970.8	4432.56	4728.84	3764.12	1859.56	2475.32	5154.2	5859.72	4898.28	6143	6620.96	4738.2	3066.44	1150.64	628.48	1039.2	2049.32	3444.8	2806.28	2278.92	3044.84	2826.08	2608.44	2049.96	809.8	244.04	59.32	1.96	87.04	98.04	12.96
TSS_04602	72	161	231.36	311.64	196.64	27.36	0	0	6.44	98.56	156.56	101.44	37.56	212.08	906.96	2363.56	5093.64	9468.2	10682.1	8275.52	7026.92	7004.92	9738.64	8964.08	3387.64	1807.72	2343	2173.44	1773.28	1152.2	1034	1280.64	975.08	640.44	851.16	907.68	682	255.96	161.72	436.44	458.96	430.48	284.36	98.64	104.48	121.52	98.04	146.96	197.48	105.52
TSS_04604	0	0	79	359	391	237	230	151	100	53	0	0	94	200	106	0	159	200	140	689	1964	3128	2990	1659	1117	1557	1908	1450	479	445	691	472	378	393	376	378	448	329	50	20	100	298	430	389	485	413	677	780	418	300
TSS_04606	5429.92	2696.32	1125.04	463.12	903.44	1953.36	2185.6	1357.4	1051.4	1499.24	2095.4	3002.28	2615.92	1002.56	706.76	605	583.64	2176.16	3525.32	4423.52	5570.36	5522.48	4882.08	4389	4454.6	4936.36	5394.8	4462.52	4229	5895.2	4978.6	2709.16	1666.32	1577.64	1847.44	2028.64	2482.56	2474.96	2478.8	1962.52	1412.96	1266.72	762	795.24	831.24	395.88	127.28	207.68	255.32	403.68
TSS_04607	404.52	424.6	625.16	964.32	1923.28	2364.56	1175.48	523.92	531.56	162.44	614.08	1838.48	2475.84	2000.32	2303.88	4730.28	6669.04	5912.6	4523.24	6077.6	7324.16	4470.52	1868.4	3952.36	6501.28	5187.08	3978.36	3455.52	3147.52	3447.68	4423.16	4938.48	4607.2	4694.88	5138.88	4203.24	1488.96	189.12	120	135	159.6	229.64	718.88	809.64	487.52	325.72	89	0	32	111.04
TSS_04611	69.2	100	38	1.6	86.4	98.4	13.6	152	455	349	429	1388.6	3049	4843.8	4198.8	2218.6	4817.4	9874.8	8196	3705.4	4946.6	7810	6284.4	4559.8	4967.8	4568.6	3770.4	3485.6	4106.2	5009.2	4973.6	3365.8	1812.8	890.6	414.2	458.2	455.2	517.6	348.6	169.4	418	586.8	629.2	519.2	278.8	227	149	12	100	88
TSS_04613	0	0	0	0	59	100	188.84	735.24	852.08	368.36	203.2	525.32	1498.88	2606.84	4206.04	5178.96	5701.8	6808.72	5290.72	2217.64	1074.12	971.16	577.32	255.48	661.28	2376.28	4238.4	5077.6	5640.36	5066.8	3328.24	2340.36	2019.08	1338.12	582.64	233.12	78	0	73	200	127	69	200	305	354	348.92	428.44	468.72	292.56	117.36
TSS_04620	360	286	215.88	395.12	514.12	287.88	210	212.92	303.08	545.08	396.92	74	46	100	111	100	124.8	195.2	218.48	578.52	702.04	754.8	1023.44	1685.64	3628.64	6799.32	10020.6	11081	9039.44	5499.04	2249.56	691.8	1900.88	7111.32	9752.76	8496.08	7682.28	5967.96	5399.48	5219.28	3324.88	1397.52	1071.76	1087.48	795.32	581.96	754.76	633.12	447.48	526.56
TSS_04621	241.88	474.36	470.36	191.64	12	100	111	100	118	168	192.64	434.36	692.52	738.48	884.72	1421.12	2658.28	5705.2	9128.44	11009.6	10018	6769.28	3232.16	969.24	1061.08	5310.68	9233.92	9019.68	7976.04	6599	5513.72	5262.8	4215.68	1920.44	999	1118.76	972.8	556.12	698.32	743.28	425.72	532	438	260	241.48	292.52	356.52	269.48	120.32	83.68
TSS_04623	66	168.8	412.8	602.6	446.4	570	918.8	1013	833.2	970.6	1795.6	2165	2677.6	3914.8	4325.6	4653.6	6503	6664.4	4110.2	2878	3724.8	4086.2	2267.6	664.2	1898	6000.8	10705.6	10663.8	7666.4	5568.4	4179.2	3955.2	2528.4	714.6	400.8	398	243	143	193.2	201.8	103.8	3.2	0	97	408	403	95.4	147.6	196.6	67.4
TSS_04627	195.2	211.2	104.8	88	153	207.2	246.6	240	123.4	108.8	87.8	208.2	303.6	374.4	410.8	676.4	1381	1896.6	2611	3760	6343.4	10250.4	14292.2	13875.8	6703.2	2934.2	7478.2	10527.2	10375.4	10053.6	7907.2	5715.4	4732.8	4327.4	2858.6	1275.8	1012.2	647.6	260	707.6	857.6	544.4	465.4	395.6	196.6	29.4	72	121	228	179
TSS_04628	194.28	226.28	105.72	55	60	200	433	479	605	868.36	592.64	296.64	737.72	1011.96	1429.32	3207.88	4488.4	4753.28	6064.52	8314.44	10115	10564.6	10260.8	6572.2	2873.36	8120.88	14482.9	13659.9	9520.28	5772.36	3572.2	2425.88	1840.64	1245.92	599.92	408.32	351.64	296.88	176.04	92.2	119.64	125.36	247	248	203	136	88	118	215	182
TSS_04629	156	487.16	579.84	358.84	221.28	332.88	246.24	201.76	346.6	397.4	691.04	990.96	916	697	783.84	1537.76	2698.64	3097.28	2582.16	2885	5744.12	9013.4	7292.44	2933.28	2644.52	8133.2	10296	8049.44	10012.8	10578.8	6708	3683.76	2629.72	2299.56	2137.12	1390.72	434.64	539.52	1295.84	1986.52	3006.96	4918.24	4690.12	3402.92	2411.88	969.4	645.2	406.36	626.28	1830.36
TSS_04644	199.48	347.48	349.52	288	151	27	11.52	182.48	265.48	117.52	50.44	398.56	648.8	683.84	1117.4	1415.96	1744.84	2544.96	2717.84	3764.28	6589.32	11570.3	11883.5	5661.08	4890.4	9759.6	9915.32	6448.76	6601.32	5616.68	2799.76	2575.48	3558.36	2767.68	961.24	472.36	832.92	894.48	498.52	380	300.24	239.76	112.76	32.68	256.56	684.56	1517	3107.48	3099.28	1595.24
TSS_04645	148	0	27	100	125	298.56	470.44	389.44	277.56	112	0	0	0	0	129	1257.72	3395.88	5922.32	9018.68	7840.76	2656.44	179.2	0	15.12	1065.84	4656.48	7229.76	6474.32	5543.12	5427.32	4895.52	5652.44	6464.64	5909.32	5964.88	7024.64	6683.4	4277.84	2818.4	1776.08	697.44	186.44	41.48	92.52	210.64	437.36	384.88	132.04	192.08	138.08
TSS_04650	174	0	0	43	100	78.56	188.2	335.68	347.2	428.36	349.16	524	1662.28	3205.08	2860.08	2985.24	6223.64	6934.16	4852.6	3808.44	4324.44	5309.44	5764.4	5020.44	3389.56	3882.24	4781.2	3631.4	1750.76	891.64	592.4	596.68	596.8	125.64	37.28	100	90	104.76	184.24	95.24	75.76	138	229	262	101	73	117	128.4	168.6	176.6
TSS_04651	200	94.28	310.72	611.72	671.28	689.8	640.4	510	277.6	236.2	200	53	513.16	1231.84	1141.24	672.76	508.12	1461.84	3643.32	6579.24	7769.32	5299.68	4103.68	7532.56	8347.08	7691.48	9974.48	9916.24	5842.48	1879.04	1281.12	2190.64	1846	731.68	585	395	102	182	143	18	54	200	246	115.84	158.16	184.16	95.84	127	146	73
TSS_04653	848.84	1115.84	809.16	483.36	330.44	461.84	416.36	402	555.56	615.44	562.76	780	1163.12	1009.08	824.04	530.28	292.88	704.08	839.6	550.92	851.24	1178	730	267	85	0	150	200	50	0	0	4.08	159.92	238.92	140.08	64.48	167.52	192.52	125.48	207.48	234.52	329.52	303.08	323.4	276.2	219.8	193.2	19.8	0	10.88
TSS_04657	0	0	0	0	0	0	0	0	0	0	64	230	293	170	51.8	439.8	1942.2	3363.8	5094	6737.6	7375.6	10904.6	15146	10500.6	4723.2	10196.6	14350.6	11899	9352	6237.8	3653.4	1933.2	760.6	389.6	519.6	686.4	547	211	27	0	0	0	0	0	5.2	92.8	94.8	7.2	28	150
TSS_04666	832.96	375.04	126	73	50	100	50	58.08	300.72	339.12	211.28	391.8	400.96	421.44	644.64	1074.28	1929.68	2314.76	3585.16	7483.72	11170.6	9738.12	4392.36	1815.24	4774.64	10840.1	11914.5	8132.6	8349.24	10797.8	10467.7	8306.68	6833.04	6136.44	4282.04	2657.52	1799	1044.76	794.28	613.72	514.16	233.84	36	0	0	0	0	0	18	100
TSS_04679	470.32	822.68	780.56	476.44	138.48	14.16	97.36	89.36	2.64	0	0	0.56	327.44	623.44	403.4	358.16	269.16	248.68	1068.28	1899.28	1728.48	1100.88	573.64	609.96	2226.24	5110.72	5503.44	4230.24	4215.52	3853.76	3609	4136.76	3458.84	2008.12	1171.68	1147.32	981.88	272.12	85	134.32	330.68	549.68	447.32	116	0	87.36	291.64	495.64	724.36	541
TSS_04681	470	365	275	304	255	211	264.88	521.4	705.84	446.6	129.28	269.64	679.12	1004.68	1094.8	803.36	725.4	1363.32	1561.12	1928.64	2828.36	3156.12	2855.56	1489.24	540.88	1450.08	2989.44	4177.52	6004.72	4894.4	1735.64	1628.44	2834	2845.64	1723	1630.72	1536.52	648.2	191.44	53.6	94.4	96.4	31.08	231.52	369.68	531.88	710.28	436.6	181.24	400.56
TSS_04682	79.2	0	175	1026.6	1258.2	748.6	739.4	1169.8	1724.6	1871.2	2071	2698.4	3703	4191.4	4713	6371.6	6376	4308.8	6769.8	13175.2	10914	7833.2	12199	14846.2	12002.6	7579.4	5973	4242	1937.8	1649.4	1538.8	996.4	1325.4	1356.8	900.4	370	363	365	116	13.8	99.2	86.2	5	217.8	295.8	82.2	0	8.4	95.6	91.6
TSS_04683	50.48	124.64	198.64	75.36	0	186.6	1039.08	1255.96	742.28	740.12	1180.84	1737.08	1869.36	2080.2	2720.32	3710.6	4191.72	4747	6401.68	6342.8	4279.84	6887.24	13255.4	10806	7855.36	12298.2	14829.6	11928.3	7518.52	5942.2	4192.8	1907.64	1652.52	1536.24	991.92	1324.92	1357.44	891.92	358.4	367	363	110	15.64	99.36	84.36	5.4	223.24	295.24	76.76	0
TSS_04695	297	529	529	584	647.16	694.92	617.76	193.2	167.96	398.88	322.48	239.64	281.92	248	259.44	1119.56	3062.48	5025.8	6506.44	7764.72	8547.56	10259.8	9418.64	4034.52	1161.6	1543.8	2176.2	1812.88	1189.72	1019.92	871	1137.36	857.52	721.12	932.12	660.12	858.76	912.76	296.24	86	393.2	828.8	968.8	758.96	597.24	328.64	132.36	97.6	8.4	0
TSS_04696	196.2	126	22.6	259.4	310.4	225.6	881.2	2657.2	4082.08	3931.24	3142.16	2538	1767.72	2195.2	2956.36	2078.84	1762.36	4138.68	5124.68	3778.96	3588.72	2933.72	1914.64	3237.76	4593.92	2231.56	1043.76	2230.64	2338.28	2799.76	2787.32	2007.52	1882.48	1604.84	1276.4	860.68	328.36	90.4	1.56	0	0	0	0	0	186	325	269	189.96	195.04	213.04
TSS_04700	296.48	209.48	3.52	0	0	0	23	280	806.88	1154.76	1856.92	3467.84	4446.4	3655.08	2723.92	3071.96	5588.2	9968.24	11027.4	8837.08	8649.28	6612.96	2295.92	982.24	3187.96	7636.52	8230.72	6674.36	5345.84	2847	1517	1318.48	1727.68	1150.48	606.92	980.24	1196.76	804.76	369.24	160.72	130.88	326.68	338.12	243.6	131	113	191	114	9	0
TSS_04702	0	169	300	131	0	26	100.72	161.8	417.52	720.44	541.48	277.04	140.28	14.72	0	43.68	534.32	1121.36	1915.12	3556.8	5816.08	7169.88	6819.24	6452.08	6590.68	6449.52	5925.96	4678.84	4996.76	6543.88	5206.2	2289.36	654.8	644.64	817.08	471.52	376.36	428.44	334.84	462.12	677	487.88	135.56	0	0	98	214	205.96	470.12	907.96
TSS_04707	621.4	478.6	320.6	455.4	340	165.8	175.2	201.8	300.2	181.4	20.6	164.6	436.4	573.2	960.8	1296.2	1674	2441.2	1960.6	924	707.2	586	1050.4	1151.8	2864.6	9309.8	10906.4	6406	4872.6	6558.6	5421.6	1598.2	284.4	381.4	336.4	248	300.4	371.6	302.8	89.4	1.4	73	397	489	209.4	134.6	184.6	207.4	363	435
TSS_04757	154	36	0	0	0	0	148	478.68	693.32	421.32	63.48	93.2	151.2	327.12	1423.44	2215.4	2644.92	4496.72	8054.52	10378.3	10358.6	8226.88	3418.48	1092.08	1780.2	2749.96	3814.16	5392.44	6739.76	6437.04	5409.36	3844.08	3463.88	4268.92	3918	2962	2190.16	1291.64	770.76	516.08	363.92	308.12	93.88	0	0	0	0	50	100	50
TSS_04758	544.2	159.6	63.56	119.32	191.4	931	2091.2	2327.96	3675.48	6525.48	9850.8	10778	9244.48	5315.56	1354.2	1442.8	2327.16	3480.4	4770.2	6300.2	6625.16	5880.12	4611.56	3252.12	3998.36	4306.2	3163	2446.6	1722.28	901.28	556.72	420	337	173	20	0	0	0	14.28	98.72	85.72	28.28	100	89.8	116.84	278.56	303.16	204.64	80	68
TSS_04760	435.24	301.92	343.04	526.28	553.8	406.44	449.52	344.64	346.36	420.88	451.12	396	247.52	956.76	1885.2	1597.8	1774.52	3512.68	5632.08	8087.76	9540.24	8007.52	4374	1348.04	718.4	1708.96	3394.24	5985.92	6874.48	4884.6	6656.6	9108.48	5981.48	5230.44	7876.96	6506.4	2459.4	462.36	252.04	202.28	42.84	69	100	31	0	0	0	81.04	321.96	474.96
TSS_04761	322.6	147.6	7.6	0	0	65	267.4	334.6	261.6	300.4	171	0	190.4	1453.2	4189.6	5626.4	6346.4	10311.6	16545.6	18277.4	11158.8	7748.8	14169.4	12437.6	3992.8	5152.6	10462.6	10616.4	6981.6	4113	2215.8	964.8	697	298.2	50	58	179	183	121	117.8	197.2	279.4	311	259.4	129.8	102.4	62	87	100	70
TSS_04762	272.96	188.04	2.96	0	0	140	284.4	430.6	953.6	1258.08	1137.64	1455.96	2434.08	2341.88	2046.4	2008.2	1528.32	1444.04	2143.88	4756.52	9875.84	14526.8	14848.8	9437.84	4404.08	8357.28	13929.7	9613.76	2313.24	438.28	2383.12	5381.96	5515.28	2689.92	1104.2	1431.04	1439.56	1197.84	685.44	506.4	647.4	383.6	125	0	86	219	471	411	229	222
TSS_04771	0.96	77.88	531.36	875.88	468.64	60.24	377	895	917.48	590.52	226.84	2067	6809.24	8780.64	7994.84	8290.56	8026.92	5232.52	2372.52	1582.56	1467.04	1699.24	2115.6	1895.56	1701.2	2226.28	3322.76	3837.32	3017.36	2494.92	2171.2	993.88	553.4	1189.4	875.8	362.6	261.72	171.08	273.08	187.32	161.6	301.56	619.68	956.8	910.8	647.16	323.92	151.08	100	33
TSS_04779	25	162	300	138	0	91	100	54	200	155	0	97	202	409	731	698	691	611	554	782	842	2150	3127	1653	361	698	2349	4153	3460	1546	1033	749	250	54	137	426	575	701	551	416	562	671	572	552	488	234	345	500	321	482
TSS_04780	102.8	133.2	97.2	10.8	130	325.8	552.2	509.2	378.8	263	39	150	473.4	827.6	729.2	651.8	549.4	226.6	180	432.4	671.6	853.6	2511	8168	10548	9031.8	7143.4	4434.4	3052.2	3036.6	4813.6	5113.2	4498	4113.6	3979.8	4696.6	4734.6	4426.4	4144	2469.2	871.8	337.2	164	131	215	370	385	492	478	288
TSS_04784	0	0	20.28	224.56	472.88	299.44	109.48	165.36	97.36	15.2	247.44	463.44	299.56	236.8	249.2	95.2	80.8	173	499	883.88	844.52	636.28	459.92	670.28	605.12	176.56	289.84	891.16	1365.04	794.84	227.56	457.52	908.36	998.6	711.84	762.68	615.16	253.84	247.64	444.36	349	57	0	0	0	44	100	56	19	100
TSS_04785	220.52	218.52	318.24	293.24	250.24	306.76	144	189.32	850.08	1479.92	2289.68	4499.24	6484	8762	11142.6	10697.2	6355.84	1785.96	733.8	796.92	1022.6	2974.52	4190.2	4319.36	5739.72	5806.04	6551.04	6591	5157.96	4533.8	2924.88	2479.52	2937.96	2865.44	1876.08	1223.28	1528.48	966.48	215.08	196	252.64	534.36	547.36	99.64	148	444	606.96	930.04	915.04	342.96
TSS_04789	0	0	0	0	11	100	240.08	512.92	549.16	534.84	742.24	634.76	257.52	17.48	0	101.08	630.36	968.48	569.64	273.76	281.4	1026.32	3588.64	6650.6	8598.84	9105.04	9516.84	7947.36	6532.88	8365.68	7774.96	5847.28	7719.88	9864.16	9803.48	8219.2	5399.6	4712.08	4594.6	2786.96	1122.4	526.48	266.48	59.8	212.92	457.52	509.84	424.44	364.24	363.76
