	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00194	14.72	118	200	128.72	185.28	153.28	14.72	4	100	161	153	209	180	275.64	652.76	993.96	924.6	1114.04	1332.04	1170.96	782.6	442.52	604.24	863.76	908.52	658.44	542.92	371.68	193.32	135	26	228	427.48	415.52	272.52	56.48	67	120	161	180	72	0.96	88.04	99.04	42.96	193.64	453.36	306.36	15.64	2.32
TSS_00217	179	211.76	485.68	669.12	568.88	567	671	604.48	545	440.04	169	257.36	755.36	922.88	483.64	126.24	29	69.32	353.68	373.68	146.32	57	0	47	373.24	799.76	745.76	623.64	697.6	657.6	485.96	264.44	248.44	236.56	296	456	262.6	171.4	290.4	300.6	267	329	379.68	346.32	253.32	71.52	213.16	296.16	93.24	94.6
TSS_00218	0	0	105	426	495	174	32	308.12	564.88	391.88	149.12	100	125	210.24	449.96	644.52	674.8	650.2	581.56	508.04	371.32	574.36	758.4	568.68	462.88	432.96	561.44	648.2	875.08	768.24	374.28	298.4	243.28	248.16	307.56	339	346.08	491.12	728.04	659.88	528.08	587.24	438.24	287.76	228	83	44.16	430.96	632.72	273.52
TSS_00229	3.96	0	0	0	0	53	121	147	79	0	0	0	0	83.44	298.56	320.56	349.44	460	407	336	706.44	1025.84	806.28	528	328.64	329.96	342.6	527.32	745.96	429.88	141.08	266.6	515.4	425.4	187.6	269.96	531.04	575.76	339.24	121.28	91.72	160.64	298.36	403.04	479.76	639.52	430.88	96.8	18	105.12
TSS_00231	339.12	445.04	303.6	331.84	314.72	246.36	353.52	258.32	140.08	83.96	96.04	219.04	329.24	416.44	374	216.56	310.72	572.92	702.16	685.28	571.04	688	783.12	415.8	133.68	98	175	461	433	258.64	683.88	878.84	448	361.04	554.72	319.48	5.4	51	100	49	76	161	197	188	287	251	119	284	317	216
TSS_00233	89.44	127.44	210.56	238	349.92	1474.92	2057.72	2848.28	2554.68	825.4	588.08	496.04	340.96	204.36	108.64	85	18	100.72	230.28	199.28	110.72	249	472	808.48	1397	2028.12	1646.2	716.48	614.44	598.68	354.6	244.16	564.84	796.76	484.24	201.32	171.68	357.96	343.04	231.04	255.16	305.8	351.8	362.2	186	76.44	257.56	258.6	219.4	321.96
TSS_00246	58	106.12	136.88	128.88	105.12	119	171	223	146.6	258.4	360.4	219.6	179	145	285	517.2	561.8	412.56	581.76	2682.68	7139.48	8659.4	5387.84	2133.64	645.12	428.52	551	471	324	195	72.76	169.24	194.24	190.32	563.44	445.12	128.88	95.32	7.68	0	102.84	296.16	248.16	110.32	144.52	237.52	204.48	84	100	79.92
TSS_00249	59	336.48	577.52	436.52	213.48	164	200	163	164	313	408	364	394	382	280	269	213.24	321.76	704.52	1272.24	1495.52	1641.64	1684.28	1164.52	604.04	171.84	2.4	53	116.8	508.56	874.84	588.44	291	486.24	781.48	648.76	235.88	15	22	178	184.72	125.16	232.4	196.84	164.88	283	196	179	200	145.28
TSS_00251	34	107	292	293	108	0	153.48	472.28	553.76	329.64	181.84	178	200	137.08	200	401.92	398.92	327.88	410.44	383.96	227.56	253.24	233.04	420.76	1005.56	1354.72	1524.24	1784.88	1475.08	902.64	436.08	53	3.36	90.64	235.72	681.28	831.84	426.28	336.96	601.72	794.2	500.08	97.92	0	82	200	163	144	238	162.72
TSS_00258	100	39	0	164	425	377	398	812.28	1198.32	1682.4	3704.36	4858.16	4720.12	3309.56	1066.56	593.68	441.2	356.92	254	455.44	531.44	263.56	161	211.92	392.6	616.28	704.68	474.8	222.88	294.84	379.84	252.16	360.76	726.2	977.28	943.8	692.96	568	369	39	3.36	96.64	96.64	3.36	0	0	28	100	72	0
