	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_40703	107.2	78.16	287.28	391.88	389.24	555.96	1048.48	891	304	342	518	662	629.4	616.88	541.32	408.96	531.36	532.24	322.68	521.16	755.24	499.76	342	365.16	1074.08	2993.12	4149.96	4187.96	3897.64	4031.28	3288.32	1283.36	841.12	1420.68	2288.32	2549.68	1834.84	1667.24	1549.6	1187.08	991.08	1310.04	1209.72	875.72	1054.32	937.68	731	341	120.72	315.28
TSS_40704	374.2	397.32	935.72	853.8	678.52	737.68	639.76	473.56	552.44	547.64	151.36	33	49	149	242	456.72	943.28	794.28	197.72	252	1129.76	1785.4	1597.84	1003.6	1275	2296.6	2876.72	2868.96	2314.96	1681.32	1003.92	870.92	1005.8	1041.44	1260.64	1874.08	1592.16	443.32	241.2	469.72	498.84	705.8	788.68	560.04	744.76	723.12	483.6	497.48	554.96	642.36
TSS_40705	631.12	1085.56	768.88	262.28	200	233.36	502.8	1055.48	697.2	225.96	379.2	317.04	898.96	1261.16	678.52	437.32	283.32	155.68	175	429.36	716.64	681.84	888.16	960.8	663.48	465.12	857.8	2481.96	3371.52	2757	2518.96	2251.92	1778.64	1188	452.8	536	725	609	1012	1111.56	585.44	267.44	159.56	175	155	47	86.48	545.76	620.28	254.24
TSS_40706	112.04	300	349	200	93	0	0	94	275	368.72	724.28	819.8	1143.12	2601.56	5018.28	5868.76	3897.12	2929.84	4253.2	5209.08	3446.24	908.24	50.6	334.16	817.24	1033.76	960.16	1142.24	2339.76	2216.28	1179.16	1696.36	2095.24	2249	1970.36	1719.44	1391.24	580.76	277	208	274.88	334.4	550.84	385.6	623.28	800	213	96.2	234.8	217.8
TSS_40707	455	100.64	166.36	199.36	117.64	175.84	360.32	576	826.68	1005.44	1795.72	2043.92	1262.68	1152.16	2536.64	3273.08	2787.52	2257.56	2089.88	3673.72	4670.64	3997.8	3670.4	2642.36	1012.4	756.52	1790.76	3957.28	4012.32	2244.44	2423.2	3824.88	4151.84	3851.48	3272.2	2587.76	4064.92	4990.4	4875.4	4205.2	2145.48	797.6	862.64	1204.48	765.16	545.64	755.84	774	619.8	462.44
TSS_40709	975.8	1227	655	215.8	392	615.2	394.4	327.4	819.2	847.2	635.6	438.2	165.8	1153.2	1553	1585	2174.2	1765.8	1238.4	847.6	685	1343.4	1298	742.2	1907.4	2947.8	2679.4	2479	1983.6	1549.2	1623.4	1616.8	1210.2	1565.4	2499.6	3408.2	3922	3151.8	2638.2	2469.4	1699.8	871.2	288	28	532.8	1204.2	1316.2	1007.8	575	381
TSS_40714	2640.68	1183.6	379.4	553.44	537.44	346.56	108	94	357.88	614.12	603.12	291.88	269	492.48	465.52	676.96	924.04	613.56	180.44	129	200	110	140	178	106	108.8	153.84	180.56	139.16	176.64	368.84	712.16	660.48	576.52	431.68	45.32	0	14	108.36	223.64	319.64	533.88	1390.48	1370.48	811.2	656.32	170.32	16.68	101.32	226.68
TSS_40717	608.96	572	279	215.4	258.6	191.6	12.4	0	20.16	99.84	139.64	510.88	874.68	706.08	364.72	231	455	637.68	1246.44	1874	2241.24	2837.4	2116.56	1407.4	2016.32	2173.36	1387.72	999.4	1063.52	1110.72	1810.68	2207.08	1436.04	1151.2	947.24	390.6	398.72	375.04	608.64	1535.88	1705.48	1217.76	1081.2	1270.44	2089.72	1563.76	344.28	713.72	1446.76	886.76
TSS_40729	556.44	627.56	357.56	287.44	461	219	146	200	236.24	405.76	317.76	94.24	20.16	530.84	687.76	1026.56	1898.76	2122.48	1941.44	1167.2	947.8	752.92	109.84	285.24	714.56	1320.68	4019.36	5678.08	3899.8	4034.24	5316	4931.96	3935.36	2646.68	2176.88	2554.52	2661.88	3306.4	3872.2	4904.76	4535.08	3027.04	2966.24	2922.24	2973.76	3248.36	2572	1663.48	1376.12	916.64
TSS_40731	243.72	395.08	552.48	625.36	524.24	1107.84	1782.28	1924.72	1961.68	2423.96	1983.68	1327.28	1565.08	1563.08	3222.68	4427.6	3871.2	3555.84	2658.56	2487.2	3967.12	3270.12	2015.52	2612.16	3463.96	4514.24	4811.44	3892.4	3264.44	3687.88	4117.64	4544.44	4753.36	5111.04	6279.76	6615.72	5201.28	3200.08	2111.2	1729.96	1440.56	1839.16	1894.84	1181.48	707.2	886.92	795.32	436.6	410.16	890.16
TSS_40741	465.76	264.16	36	0	110	544.24	1163.16	1443.28	956.92	312.48	193.92	245	176	55	153	610	849.84	2057.4	2755.4	1588.4	791.48	347	467.76	1545.8	1818	1694.56	1655	1283.16	1449.04	1135.8	838.64	1063.76	831.2	714.68	702.72	419.44	569.92	1082	1018.8	629.8	1354.6	1440.52	926.28	768.48	373.52	219.2	272.88	628.92	679.76	485.24
TSS_40753	953.96	923.72	329.52	186.72	267.96	586.32	627.32	490.68	319	180.08	295.92	270.92	133.08	206	531.24	1151.76	1160.76	700.24	643.8	740.52	1256.88	1261.28	1253.64	1257.72	769.04	922.48	979.64	921.28	1296.92	1946.32	2599.72	2379.92	1891.4	1297.28	808.8	1585.56	2476.16	2080.24	1178.48	930.32	1068.88	1171.72	919.72	969.36	1285.76	1416.08	1403.68	1127.4	563.24	337.68
TSS_40756	510.76	638.64	738.36	386.28	339.72	714.96	1296.36	2206.56	2346.84	1303.88	1483.92	2037.28	2193.12	3319.76	5496.24	6860.12	4616.52	1878.6	1561.84	3955.4	6623.6	4695	1496.04	914.52	3879.4	9616.4	13380.8	16768.9	17359.4	12671.2	7972.6	6362.2	7029.08	10591.8	15274.6	16020.8	14769.9	11978	11741.9	12902.3	10695.9	9141.08	9211.04	8638.2	7983.32	7203.64	7866.4	9651.4	7699.08	5824.92
TSS_40757	9205.8	7147.8	7519.6	8427.2	8731.6	9284.6	9640.2	11922	12630.6	11264.2	13379	15568.4	16242.4	13335.2	8407	6385.8	6866.6	9890.4	15168.4	17571.8	15611	11932.2	6459.2	2206	791.4	2620.6	6353.4	5824	2378.4	1290.8	2913.6	6445.6	6317.4	4224.8	2828.6	2025	1838.6	1269.8	1755.2	2395.2	1874.8	971.8	494.2	272	584	772	526	539	470	225.2
TSS_40760	225.16	314.84	316.84	418.16	1221.36	1937.84	1478.36	984.24	939.28	611.96	982.72	2885.92	4151.84	3984.12	3876.84	3396.6	3417.24	4120.04	4504.12	5547.64	5584.32	3306.64	1365.92	434	656.72	2473.56	3488.64	2820	2723.24	4142	3993.52	3344.16	3307.8	2898.6	3234.68	2034.64	923.44	1896	1603.96	393.68	208.36	97.36	147.64	257.4	341.6	242.6	164.4	357	269.68	376.48
TSS_40770	4676.92	3640.6	4270.36	5415.96	6736.4	7273.12	5463.52	4854.52	6007.88	8051.96	9708.84	7466.92	7273.84	8203.52	8668.16	9284.36	9145.4	11007.4	12994.6	11490.5	12322.8	15118.1	16084.8	14795.3	9937	6824.36	6484.28	8364.88	13319.8	17622.9	16573.7	12891	8786.72	3409.36	756.2	1726.76	5248.36	6510.8	3439.68	1454.24	2095.44	5152.8	6754.12	5195.6	3208.2	2096.28	1992.44	1393.16	1348.56	2439.36
TSS_40777	463	207.36	1095.96	1589.32	636.04	96.28	109.04	228.04	202.96	356.12	771.88	765.88	592.68	665.56	937.32	1025.44	663.12	459	406.2	460.8	406.8	449.36	851.12	1227.56	1285.2	1009.96	473.68	276.32	909.12	1069.4	706.36	537.6	535.52	673.04	544.52	401.76	461.12	362.36	423.2	498.28	486.72	392.56	222.44	286	228	154	256.72	383.28	284.28	122.24
TSS_40782	325.6	518.4	472.4	64.8	98.8	90.8	4.88	387.32	528.32	386.68	668	578.64	365.36	356.44	1098.56	1590.28	1906.92	3272.44	3758.24	3028.12	1812.48	699.52	256.44	151.44	975.16	2658.64	2851.28	1518.08	746.96	1485.96	2495.08	2650.4	1670.52	790.44	1040.4	1617.04	1465.36	705.56	602.28	607.48	353.44	115.52	158.76	555.76	574.2	342.8	226.56	406.64	1005.8	822.8
