	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_16333	52.96	0	79.92	336.4	764.4	722.96	355.68	140.64	86	183.16	446.84	808.76	989.24	643.08	607.76	1414.64	2323.96	3406.6	5036.84	6526.44	9875.76	14191	9845.08	2831.08	2958.72	7618.8	11652.9	10668.1	8296.12	7016.08	6670.6	7055.64	6807.32	5451.28	3373.28	2618.64	3041.48	3078.92	2885.92	3175.6	2774.8	2235.92	3008.88	2681.28	1391.28	870.12	860.84	1022.08	1700.88	2686.32
TSS_16334	358.84	203.16	221	227	100	18	62	320	429	365	822.32	2044.68	1974.68	743.8	473.92	1411.2	2805	4000.28	5461.6	6864.96	10014.6	12923.7	9720.28	4301.28	3186.2	8856.24	13338.8	10278.8	6270.48	5240.96	5702.28	7357.6	6230.44	3769.52	3128.96	1607.64	767.12	716.4	660.32	587	651	567	398	529	714.2	914.08	829.8	676.64	662.84	703.08
TSS_16335	180	331	832	1078	749	770	1011	1527	2292	3386	5584	6762	7151	6182	4818	7723	7669	3020	840	1045	3687	6340	7422	8205	9827	10731	8641	4970	3829	8128	9047	3926	1259	896	593	500	415	627	610	299	54	0	205	677	1114	923	657	939	851	423
TSS_16338	180.28	159.72	220.72	278.28	195.12	271.88	464.88	672.12	884	929.6	852.16	1743.64	1850	1018.6	2426.04	4405.6	6154.8	8317.24	10226.1	9252.88	5044.88	1795.56	951.08	1482	2960.96	6104.4	7516.44	8656.44	10242.4	8093.32	5356.56	5141.92	5240.08	4029	2879.6	2153.84	2932.16	3334.12	2200.36	1043.48	459.4	499.52	584.12	574.76	396.84	441.2	608.4	837.36	808.6	344.88
TSS_16347	200	180	100	121	100	15	0	0	0	0	46	354	354	46	57	149	203.68	518.16	1497.88	3481.8	4880.6	6298.28	6144.08	2779.76	999	1645.04	2716.8	2674.64	1435.96	1107.32	1249	1085.16	798.64	358.04	117.36	148.8	247	154	62.36	96.64	90.64	85.36	100	18	8.64	180.36	248.36	119.64	66.04	235.96
TSS_16348	298.72	193.4	197.6	152.32	3.68	0	10.92	158.08	189.08	86.92	100	55	0	65	100	35	0	0	0	0	46	100	54	35.28	2967.12	8790.28	11339	11408	12350.8	11383.2	7607.96	4113.76	2579.84	3673.24	4250.84	2608.76	1835.32	1186.08	370	372.32	1508.92	1997.4	990.12	324.72	241	361.68	651.76	954.16	1105.96	983.16
TSS_16364	546.68	624.32	196.68	140.72	655.28	828.72	998.52	1585.36	1513.4	1291.96	1737.6	2246.32	3082.4	5007.64	6524.36	5572.16	5575.8	5849.88	4144.28	5328.08	5027.4	1764.28	560.16	779.72	1635.24	3159.68	3976.8	4186.36	3805.04	2545.48	3476.72	3748.76	2239.32	2163.88	2844.48	3857.68	5442.36	5389.2	3415.6	3063.04	2640.84	979.84	656.64	680.28	665.32	1126.36	1181.44	1278.6	1402	791
TSS_16366	407	488	231	100	32	0	0	0	20	103	172	97	8	0	138	200	64.8	164.2	197.2	449.8	959	686	141	0	116.8	283.2	343.2	292.8	190	169	153	147.4	178.6	107.6	18.4	136	200	88	100	147	100	64	100	65	0	0	1.6	162.4	231.4	300.6
TSS_16368	171.72	123.72	101.28	74.84	96.16	93.16	3.84	77	100	93	100	151	225	272	351	219	174.2	549.16	816.32	964.76	1304.68	774.08	28.8	75	1179.52	5870.04	10453.5	9111.2	5096.32	4894.2	6741.16	4649.12	1864.44	1662.56	1383.24	612.88	330.8	397.28	549.72	371.2	410.8	556.52	210.48	116.56	277.44	259.44	102.56	24	50	100
TSS_16370	122	108	100	21.84	274.16	418.16	225.84	92.88	99.12	137.12	111	216.88	310.12	270.6	283.64	260.92	348.12	655.6	903.04	1462.4	3065.12	6931.84	7453.28	3907.16	4492.52	11602.8	15038.5	14390.5	13698.5	13422.1	12143.6	7416.48	4908.4	3536.68	2298.84	1997.16	1934.4	1418.96	852.52	1337.64	1719	1097.36	791.92	639.96	428.36	283.52	120.04	83.08	199.44	118.44
TSS_16374	0	36	100	66.8	89.2	97.2	10.8	0	50	100	50	0	126	368	615.08	721.92	433.92	110.08	143	215	187.04	242.96	653.44	1980.64	3398.64	3229.2	2528.2	2321.88	1675.4	2030.72	2820.92	2799.24	2917.76	2990.44	2363.72	1607.04	1639.76	1690.88	1441.12	746	423	402	175.16	393.16	453.52	150.84	4.32	0	0	0
TSS_16378	395	194	112	244	276	156	17	406	500	98	200	258	430	438	116	191	298	306	242	119	313	364	237	753	2050	2790	2236	1773	2303	3590	3484	3462	3740	3285	2883	1867	1162	927	1054	731	571	998	657	324	333	385	448	235	43	0
TSS_16380	98.4	92.8	267.2	294.6	34.4	114	364	348	153	243.4	671.6	667.6	586.6	685.8	553.6	620.4	408.2	519.8	757	463	511	477	238	239.6	253.4	152.4	216.8	267.8	86.8	20.2	117	230	249	251	236.6	340.4	297.4	107.6	100	52	0	0	84	132	116	145	157	123	99	293
TSS_16389	0	0	0	48	101.84	150.16	215.16	326.84	283	76.12	166.88	198.88	82.12	100.4	267.6	649.6	644.92	460.24	668.76	1474.52	2360.28	2989.44	3628.6	2804.84	2315.36	3692.32	4006.88	3535.8	3052.72	3306.92	4897.16	5059.72	6168.36	8800	8024.32	4659.24	2590.2	2656.16	3149.88	3095.52	2779.76	2086.8	1217.56	920.76	778.64	478.72	504	533.16	450.68	491
TSS_16408	157.8	115	100	17	0	0	54.4	197.6	166.6	199.2	521.2	436.2	182.8	167	137	107.2	132.8	92.8	91.2	100	308.4	742.6	592.6	157.4	57.2	519.8	3140.2	6687.8	8832.8	7751.6	5202.6	3832.8	2714	2074	1695.6	1317.4	894.6	695.8	420	120.8	402	589	254	129	211.4	179.6	88.6	2.4	0	10.8
TSS_16416	211	200	111.4	187.6	375.6	212.4	18	0	0	0	0	45	104	146	142	177	154	85	200	147	135	226	246	274	119	0	0	15	112	293.4	376.6	239.6	111.4	52	0	0	0	0	79	251.4	415.6	294.6	105.4	69	100	161	100	24	0	0
TSS_16421	375	200	166	0	9.24	192.12	331.4	262.88	213.36	145	74	225.92	385.68	482.48	386.32	96.88	179.44	336	493.56	682.92	1287.08	1721.52	1614.92	1368.92	1557.96	2642.44	2091.44	924.52	2099.92	5030.6	5966.96	4003.32	2159.84	1676.76	2515.44	2658.76	1359.64	769.72	1139.84	951.24	356.52	416.44	577.44	222.12	99.44	130.44	100.56	135	105.72	117.28
TSS_16436	0	0	84.96	265.04	236.04	236.6	749.36	1110.48	1592.88	2206.92	2370.56	2841.76	2765.28	3355.16	4725.04	4737.44	5296.04	5725.64	5378.92	4135.32	2848.36	3077.2	5820.92	7264.44	3886.96	978.52	622.28	768.84	2159.4	4372.4	5433.52	8479.12	12408.4	12763.2	10225.1	8007.48	6670.68	5718.28	4632.56	2889.96	1728.64	1368.4	1645.16	2467.56	3101	3163.12	2956.64	2211.04	1165.44	820.96
