	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	0	0	0	57	100	43	170	200	30	0	0	0	0	0	0	136	200	64	0	86.6	190.4	187.4	109.6	38	98	88	2	88	189	112	11	89	114.4	248.6	285.6	146.4	100	16	75	247	325	153	35	100	65	55	100	113	100	32
TSS_00004	11	0	0	0	0	16.72	193.28	184.8	101.2	190.48	205.52	108	0	129	338	271	62	107	261	243.12	449.8	1251.84	1582	1337.88	2186.24	3851.52	5037.92	6684.92	7729.2	5552.8	4072.88	4438.68	3264.64	2169.36	2196	1611.72	841.28	819.68	479.04	203.48	438	328	65.04	162.32	293.6	173.4	333.64	478.56	419.76	471.4
TSS_00006	194.88	127.12	196.56	277.84	463.56	474.04	405	1050.28	2337.64	2535.96	1232.32	940.48	1730	1915.28	1760.04	1454.4	674.88	382.8	1838.92	3053.32	2050.08	596.8	111	93.04	548.76	2055.24	4417.56	4834.08	3678.16	3045.56	2800.88	4541.52	8198.6	10019.3	8512.52	7726.08	8467.6	6241.08	2669.8	2168.48	3147.48	2996.96	1475.64	600.08	781.96	799.24	606.96	431.8	370.52	414.6
TSS_00011	0	0	0	51.6	201.72	422.08	398.28	126.32	0	0	29	153	171	47	75	213.12	313.52	320.24	460.48	739.64	640.28	1249.8	2099.4	1419.72	971.08	2511.8	4298.12	5015.64	4434.32	3454.84	2616.6	1412.88	865.92	769.92	477.28	195.2	206	321.4	242	164.8	300	211	0	0	0	0	53	100	57	148
TSS_00014	186.2	75	0	0	0	0	0	0	0	0	0	66	127	217.8	322.2	623.2	822.2	1072.8	1940.8	2701.8	3096.2	3331.8	2281.6	1489.4	3325.2	5165.2	3702.4	2155.2	2749	3153	3028	3082.4	2770.2	3351.8	4027	2838.4	2496.2	2565.6	1800	1773.8	1742.8	1352.2	1071.8	724.2	973	1395.4	1218.6	622.6	335	261.4
TSS_00016	2062.12	2453.88	2666.4	4310.72	5035.16	5423.2	6397.16	5872.48	4437.68	4001.88	3456.64	2328.88	1320.24	845.08	2174.6	3685.64	5055.12	8060.36	11728.5	15639	14154.3	6695.88	1535.12	624.12	1935.32	2875.8	2615.4	2397.68	2808.56	3080.88	2773.04	2294	1976.88	1552.08	870.8	478.44	406	155.68	86.32	98.32	17.6	139.32	283.84	293.64	447.28	367.04	68.04	89.92	96.92	10.08
TSS_00020	11.76	98.24	88.24	45.76	100	75.32	228.72	391.08	365.84	277.68	203.36	170.92	244.08	465	569	464	487.12	880.4	1772.12	2193.08	1594.24	1254.4	1174.92	655.96	876.68	3065.04	4460.28	4162.6	3315.96	1899.36	1054.12	1399.72	1566.76	721.6	378.64	528.84	408.16	284	200	67	72	100	102.56	242.8	746.2	778.76	512.56	493.56	275.64	229.8
TSS_00022	167	77	0	73	100	27	0	0	0	0	1.44	85.56	158.44	204.56	342.72	664.44	930.08	1103.32	1807.6	2656.2	2521.64	1285.92	238.08	0	128	433.24	708.76	744.76	495.28	505.76	698.16	800.24	569.8	116	76	278	249	122	123	100	52	53	149	247	151	0	9	100	91	0
TSS_00025	0.8	86.2	99.2	14.28	82.52	99.52	87.4	376.08	360.08	325.2	465.16	809	1279.52	1458.12	1870.76	3475.4	6076.68	7300.76	8108.56	8873.04	8861.32	8576.48	6387.64	3599.84	3434.04	6207.04	6227.12	3596.96	1759.2	302.08	30	238.6	789.4	762.12	265.88	215.96	609.36	1377.72	2698.64	3138.6	2091.12	1419.76	1215.88	944.12	743.4	592	515.44	488.12	240.88	59
TSS_00028	283.4	165.4	107.6	353.8	697.2	446.2	8.8	45	200	269.2	292.8	185.8	46.2	101.8	148.2	98.2	122.8	408	569	402	476	390	45	313.6	1268.4	1286.4	342.6	509	1731	2468	2015.4	1977.8	2064.6	1679.6	2195.2	2080	992.4	939.8	1458	1279.2	699.4	366.6	133	0	2.8	207.2	303.6	278.4	193.6	80.4
