	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_44709	196	89.36	339.76	496.88	162.88	3.12	0	0	0	0	16.72	228.24	392.96	436.12	290.32	35.64	0	152	200	168	388.44	626.88	701.24	876.8	1881.76	4300.88	6338.72	5285.44	3131.16	2286.04	2666.76	2611.68	1267.92	309	150.28	183.28	76	170.72	297.72	255.28	200	74	50	441.68	598.4	1032.24	974.4	404.28	277.2	21.8
TSS_44710	0	0	0	0	0	0	1.92	176.08	217.28	218.72	180.8	5.2	0	292	414.4	558.6	485.6	49.4	0	8.16	140.84	379.24	746.6	1380	3069.52	4140.76	3312.4	3205.88	3018.88	1511.96	625.2	462.56	353.16	697	830.68	589	684.72	625.44	276	100	42	0	0	0	0	0	0	0	4.8	116.68
TSS_44713	841.28	1401	1504.32	1209.4	513.44	374	164	76	300	224	76	200	124	0	0	56	200	166.88	197.12	177.12	215.88	466	1149	2022.92	1576.08	906.08	1361.92	1717.8	1951.6	2704.8	2264.4	791.76	309.64	716.64	722.36	353	152	21	152	436.4	797.6	608.6	220.4	268.52	318.48	500.48	779.52	486	110.56	759.08
TSS_44718	367.96	115.04	0	87	300	450	575	563	365	487	777.2	701.8	426.8	444.2	395.52	457.48	413.24	283.76	247.68	112.32	122	468	1334.56	3136.16	4726.64	4586.2	4082.6	3160.76	2098.56	1876.32	1683.2	868.12	250.88	117.88	5.52	170.6	301.6	349.4	314	180	245	501	435	99	0	0	0	0	0	0
TSS_44719	725.4	929.2	528.4	819.4	895.4	307.4	425.2	389.2	36.8	0	0	0.2	81.4	342.2	318.6	57.6	6.4	441.6	767.6	559.4	326	310	1319.4	2832.8	4930	7401.4	8431	6448.4	3477.8	2784.2	3657.4	3754	3144.2	1758.6	673.8	780.6	404.6	347.8	461.8	181.2	78	200	170	100	132	100	79	158	476	542
TSS_44720	0	0	0	0	0	76.84	490.16	634.72	307.28	88.44	2.56	0	41.48	367.52	358.52	32.48	0	0	0	0	0	0	674	1096	526	104	0	0	105.24	658.76	882.76	441.24	315.12	404.4	385.36	195.6	33.52	100	198	595.52	782.6	399.36	97.4	5.12	0	164	284	376	416	721
TSS_44724	204.12	501.88	607.88	334.12	88	66	120	563.44	827.56	370.56	91.44	200	171	505	590	117	100	218.48	559.52	733.52	540.48	226.32	80.68	99.68	46.32	531	973.8	723.2	527.2	346.68	159.12	104.12	164.88	368	248	27	0	0	0	0	0	0	46	100.88	141.12	237.12	536.88	562	176	0
TSS_44725	61	289.76	785.24	610.24	121.76	134	172	548	467.04	213.96	400.96	507.24	489.12	631.4	904.96	565.4	163.92	249	291.44	445.56	342.56	5.44	198	300	102	0	51.72	197.28	148.28	2.72	116	267	323.52	523.48	454.48	455.52	502	259.76	365.24	410.24	238.76	84	0	0	79	100	31.24	256.16	469.36	243.84
TSS_44727	0	0	0	0	0	0	0	0	0	0	445	700	255	0	13.44	264.56	286.56	35.44	0	0	0	0	0	0	0	0	0	0	0	105.52	339.48	294.48	289.96	966.56	770.56	33.44	146	550	476.4	423.6	377.6	26.4	23.52	507.48	776.48	380.52	100	30	100	82
TSS_44736	597.2	348.8	56	100	44	78	100	22	0	5.4	261.6	294.6	38.4	0	130	267	170	33	210	906	890	244	203.8	318.8	512.6	531.2	379.6	400	204	2.8	91.2	97.2	148.8	200	60	1.4	565.6	698.6	134.4	0	0	0	3.4	173.6	196.6	34.4	192	192	28	124
TSS_44741	0	0	0	0	0	0	0	0	0	0	234	550	389.92	248.08	205.08	101.92	71	0	65	100	48.8	178.84	354.12	499.4	912.24	1507.76	1256.16	949.72	956.68	592.28	407	256.04	380.96	674.96	583.04	241	82	100	54	255.52	796.48	610.72	497.28	567.76	206.24	66	0	0	0	0
TSS_44742	116	0	0	3.84	593.16	990.16	606.84	640	830	466	70	98	111.52	250.48	437.48	431.52	424	394.88	760.96	1495.64	2224.68	2427.84	1950	1175.64	1908.56	4294.76	5301.16	4003.32	2270.92	1387.12	1428.88	2149.04	1872.56	804.24	426.8	411.44	462.56	276.08	215.92	396	418.4	303.6	308.32	854.68	1133.28	1363.92	1541.8	954.04	605.96	1073.12
TSS_44743	25.08	626.92	774.92	173.08	0	0	0	75	368	433.36	228.64	109.88	301.52	573.36	301.84	529.4	1656.68	2119.88	2266.76	3267.72	3890.64	3891.44	3857.36	2793.52	2236.64	2553.76	2143.8	1198.68	524.12	530	819	787	305	37	63	187	137	79	100	218.32	395.68	291.68	324.48	1022.32	979.36	486.68	840.48	715	483	655.32
