	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_29044	85	100	15	0	0	70.24	196.76	220.28	323.72	309.48	79.52	0	0	0	0	0	0	0.64	143.36	373.36	256.64	26	0	0	0	0	0	42	100	58	0	0	0	30	100.64	261.64	521.16	699.56	604.2	500.52	432	398.12	635.16	431.16	134.84	179	259	526.4	791.56	770.88
TSS_29045	84.76	24.84	274.16	275.16	25.84	0	27.32	194.68	215.68	130.32	157	75	28	100	72	105	238	233	162	62.24	96.08	294.44	227.92	105.32	76	0	0	0	0	0	114.96	381.04	416.28	303.12	257.36	220.96	382.28	451.2	543.24	676.24	537.88	552.16	737.04	616.52	708.96	926.16	811.6	1000.96	1435.16	1488.52
TSS_29055	238.04	217	69	0	1.08	219.48	570.04	722.04	515.68	237.48	213.2	136	100	85	0	0	0	0	50	100.48	131.52	99.52	18.48	0	0	0	0	0	114	200	86	107	300	368	400	258.32	198.88	406.76	595.84	658.84	738.44	832.16	781.12	1158.76	1267.44	840.16	802.28	612	457.56	945.04
TSS_29056	0	53	100	47	0	0	21.12	151.88	178.88	48.12	0	0	0	0	0	0	91.84	199.16	108.16	159.6	376.24	241.24	23.76	0	0	0	0	0	0	153	200	77.72	374.48	574.16	801.52	994.04	629	326.04	914.68	1353.56	994.16	995.96	1297.28	1386.92	940.28	964.2	964.28	745.72	736.76	944.96
TSS_29057	1030.4	695.32	511.64	254	113	200	87	0	0	0	0	0	0	84	313	316	117	145	170	55	0	0	0	0	0	0	93	200	107	0	0	0	80	100	20	0	0	0	67	121	133	82.96	91.04	102.88	176.12	415.16	492.84	383	293	309.4
TSS_29065	0	0	0	0	0	40	100	132	100	28	0	0	0	9.88	97.12	90.12	167.88	234	248.4	576.92	750.28	489.08	136.32	0	0	91	261	272.48	428.52	336.52	92.48	219	346.88	516.12	457.44	367.24	586.56	762.08	636.08	815.8	1393.36	1404.96	1240.92	1037.32	745.6	1041.8	1105.56	1129.84	1705.4	1805.48
TSS_29067	683	842	1267	1186	1383	1089	477	751	1043	873	656	374	234	266	100	13	157	200	43	90	200	199	100	101	151	119	149	91	61	290	339	110	0	0	90	200	110	0	80	167	651	1160	1092	936	855	647	340	207	256	670
TSS_29071	578.6	1137	1696.2	1132.4	429.2	439.2	288.8	91.2	100	467.4	695.6	411.6	301.2	407.6	691.4	870.6	712	407.6	215	186.2	165.8	173	159	127	60	0	0	0	2.4	91.6	97.6	8.4	0	0	0	0	0	2.4	139.6	288.6	327.4	638	778	523	351	232	282	398	368	288.4
TSS_29074	212.44	259.04	467.08	781.72	844.12	1046.2	1222.28	883.76	419.08	101.28	34	13.44	188.56	186.56	11.44	0	15.96	219.76	381.32	180.24	39.72	100	158	156	105	101	143	202	157	41	135	200	65	59	171	241	289	468.76	794.24	1031.24	895.76	507.56	792.4	1305.88	1203.2	1265.16	1130.32	734.28	641	386.8
TSS_29075	848.2	487.28	549.44	966.84	740.24	289.76	366.6	398.4	284.6	230.4	349.4	521.6	777	640	328.56	290.44	141.44	2.56	0	0	0	0	0	7.56	97.44	92.44	2.56	0	0	0	59	126	159	174	165.72	185.28	213.6	405.04	710.2	869.64	694.56	409.84	301.88	407.24	696.04	472.96	100	91.08	285.92	438.68
