	-2500:-2401	-2400:-2301	-2300:-2201	-2200:-2101	-2100:-2001	-2000:-1901	-1900:-1801	-1800:-1701	-1700:-1601	-1600:-1501	-1500:-1401	-1400:-1301	-1300:-1201	-1200:-1101	-1100:-1001	-1000:-901	-900:-801	-800:-701	-700:-601	-600:-501	-500:-401	-400:-301	-300:-201	-200:-101	-100:-1	0:99	100:199	200:299	300:399	400:499	500:599	600:699	700:799	800:899	900:999	1000:1099	1100:1199	1200:1299	1300:1399	1400:1499	1500:1599	1600:1699	1700:1799	1800:1899	1900:1999	2000:2099	2100:2199	2200:2299	2300:2399	2400:2499
TSS_00003	392.2	202.8	60	100	40	0	0	0	50	100	50	74	100	26	88	100	87	157	317.2	684.8	901.6	2133.2	3698.6	3351.2	5150.4	6477.8	4641	3198	1628.6	884.4	698	312.4	172.6	175.2	117	140	200	86	0	67	100	33	15	112	258	188	51	100	208	200
TSS_00004	0	0	3.8	166.2	387.2	272.8	205.04	355.96	236.96	105.04	67	0	0	21.28	252.72	278.72	47.28	87	152	457.8	1311	2490.88	2733.56	2452.6	8426.68	25046.9	35757.2	35323.3	30085.6	19719.5	15792.5	17931.2	14825.9	9132.24	6957.2	5471.88	2645.16	853.04	524.84	433.68	317.36	575	571	125	131	200	135	100	34	28
TSS_00006	163.92	206.12	209.88	330.44	325.56	164.12	389.72	823.4	539.6	338.16	328.92	232.08	152.6	98.4	123.88	197.12	165.92	251.96	1387.24	2676.36	2259.84	1111.32	467.2	808.68	4682.28	14284.9	20551.4	17398.4	13846.6	12028.8	8754.96	10136	15904.5	18474.3	18984	17621.2	15838.6	13054.8	11591.1	13644.3	14198.7	10142.6	5011.2	3678.56	2321.76	884	1237.4	1358.92	1131.4	869.8
TSS_00011	100	71	6.44	98.56	130.56	167.44	163	34	0	0	0	0	0	0	65	114	170	362	781.68	1927.68	3345.8	4255.24	3869.32	2430.36	3610.36	14139.2	26755.2	32236.1	30315.9	22568.1	17394	13253.8	7365.24	4384.48	3094.2	1418.2	625.68	686.36	478.56	271.44	229	53	0	39	200	161	0	0	0	74.2
TSS_00014	218.4	296.6	219.6	114.4	62	8.8	107.4	221	228.6	170.2	111.6	240	430.8	425.4	1170.8	3670.4	6346.6	8195.6	9588.8	14620.2	23574.6	25327	15349.8	5900	9574.8	17659.8	15026.6	9850	15388	23854.6	22274.4	15968.8	15420	17598.2	15003	12555.6	14986.4	16015.6	14110.8	12786.2	12081.2	10314	8180.2	6278.4	4433.6	3981.6	4253.2	3283.4	2674.8	2011
TSS_00016	9245.56	7942.76	7113.16	9323.32	11455.2	9503.32	7491.68	6137.12	4084.88	3180.4	2392.28	1747.64	818.92	273.52	213.32	439.68	499.08	347.92	532.16	1122.12	1937.56	1481.88	553.36	1858.76	11310.4	20601.4	19478.5	13900.6	10542.6	7850.48	4383.6	3549.8	3231.04	2511.4	1769.72	1028.6	627	319	184	192	89	0	0	49	248	452	352	165	200	216.6
TSS_00020	42.4	258.84	359.52	230.68	196.64	110.48	50.68	275.84	358.4	612.6	676.44	311.56	186.88	393	1014.6	1279.52	2100.48	4243.76	5919.76	7515.16	7793.56	5898.68	4271.72	3352.32	4955.12	15017.8	26285.7	27166	20608	16003.2	14930.4	11305.2	9301.32	7834.84	3702.08	1845.08	1529.6	945.36	470.8	299.08	225	100.96	23	66	100	34	0	15.96	165.6	281.48
TSS_00022	100	93	0	0	55	181	404	519	293	118	173.24	376.76	475	590.76	942	1592.32	3322.32	5435.6	7889.72	10571.4	12147.6	7473.4	1214.12	586.92	3751.2	10440.5	13326.2	12437.6	16147.8	16054.2	11042.8	10538.4	10477.6	9095.4	7433.4	5161.16	3872.88	2537.28	1048.52	832.68	710.28	350.72	380.16	466.96	595.88	539.88	197.12	0	0	112
TSS_00025	100	87	0	1.2	98.8	210.8	228.2	255	199	230	398.4	825.8	1871.44	3363.64	4590.4	5489.72	8778.48	13786.8	15402.6	14159.2	14214.3	12853.2	8108.08	3740.56	4069.92	10746.2	11129	4039.2	704.6	261.2	286.28	2301.8	6405.68	5644.24	1732.28	885.4	3363.68	7472.04	12163.4	14856.2	13213.2	9327.76	5651.8	3492.28	2146.96	1511.36	1026.64	598.36	370.88	323.12
TSS_00028	0	0	0	0	72	100	28	0	47	100	53	1.6	86.4	98.4	13.6	13	153	187	195	783	1644.4	1514.6	703.2	1219	7912.6	18292.6	15536.4	13209.2	20763.8	23350.8	19959	14309	11098.8	8901.8	7137.8	6125.2	5042.2	3613.8	2172.4	1490.2	1564.6	1149.8	410.4	141	6.4	14.8	240.2	351.2	259.8	175
TSS_00036	119.04	192.96	188.04	8.96	0	0	102.72	199.28	97.28	0.72	90	122.08	109.92	77.92	0.08	0	0	101	398	733.8	939.16	849.24	801.4	1183.12	4336.76	10114.5	13715.9	16358.6	14372.2	6497.88	4131.08	10633.3	15519.7	15097.6	13253.6	9218.44	4294.12	2878.8	3253.6	2196.84	1442.8	748	338.8	247.8	102.88	41	0	0	10.12	98.88
TSS_00038	197.84	168	19.24	96.76	96.8	188.2	192.96	15.04	0	0	0	0	0	33	112.16	202.84	187.84	126.92	339.24	546.84	924.8	1826.56	2653.4	2715.72	3745.16	9244.2	15114.8	16828.2	11781.5	5807.8	11309.6	20303.7	24525.6	27857.2	28922.4	25626.4	22071.1	21283.5	23031.2	23967.6	20337.8	18721.3	19297.8	15847.8	12523.8	9747.52	5642.56	3488.92	2706.44	1909.28
TSS_00040	456.6	270.4	113	82.8	219.2	217.2	173.8	300	207	49	138	258	262	150	100	43	0	0	3.2	1178	5038.8	8983.6	7142.4	3322.4	7704.2	23448.2	36085.4	34470.4	26723.4	21578.6	21466	20922.6	19037.2	17710	15427.4	10166.2	4988.2	2683.8	1851.4	1705.8	1143.6	1003.2	881.8	873	802.2	272.2	153.8	282	267	200
TSS_00041	76	100	125	200	194	100	5	0	93	100	36	100	71	134	354	701	665.32	921.6	1792.2	2719.68	4442.8	4542.8	3258.52	6670.56	10715.6	8350.8	6758.96	9687.28	10545.4	8569.04	5717.16	3248.56	2489	2600.2	1843.04	648.48	336.48	365.72	478.32	305.28	195.2	135	8	0	0	0	0	14.28	174.72	194.12
TSS_00042	0.72	0	0	41	100	189	325.04	518.96	436.96	339.04	338	159	129	153	203	582.76	689.24	855.52	3820.44	6943.76	5062.56	8348.88	19194	21269.7	17140.2	15144.7	11397.2	10402.3	11531.6	9630.84	7568.6	5440.48	3420.4	2125.04	1450.76	856	193	0	59	203	401	571	474	265	166	84	100	141.28	182.72	135.72
TSS_00044	0	0	0	0	96	221	204	161	100	18	0	0	0.84	96.16	99.16	147.84	360	412	450.72	793.04	2421.2	4314.28	3359.92	1763.8	7176.08	23271.6	33208	27694.6	21167.3	19599.8	21029.2	19346.1	14317	10781.2	9687.96	7700.64	4088.68	2526.6	2427.6	2470	1719.04	1007.68	487.36	74.64	137.68	484.64	492	215.36	70.32	60
TSS_00051	0	0	0	10.8	176.2	189.2	28.6	93.2	164.2	134.8	131	72	0	0	29	102.4	270.6	424.6	723	1846.4	2367.6	2605.8	3938.8	3129.4	3547.8	6861.6	7487.6	6329.4	6831.2	10656.4	13757	9460.8	3050	2823.6	8552.6	16540.4	19556.2	13417.6	9405.6	10482.8	10556.4	9395.8	6084.4	3694.4	3876.6	3262.6	1345	841.8	825.4	449.2
TSS_00053	248	91	127	275	173	25	71	100	86	100	43	10	100	90	0	0	76.2	346.8	832	2790.24	6858.2	6845.24	2643.28	1314.72	4042.28	8574.6	9296.64	10007.4	16495.4	20767.4	22002.3	21533.5	17866	12056.6	10678.1	16152.6	18224.8	16170	14336.8	14746.2	15212.3	14540.2	13927.4	11598.1	9690.2	7833.72	7037.2	6917.08	5357.48	4279.36
TSS_00060	0	0	0	0	0	1.2	86.8	98.8	13.2	0	0	0	0	0	1.2	132.8	243.8	167.2	56.92	92.08	98.08	88.68	1072.52	1939.96	1753.92	2954.56	4824	6925.6	9963.92	14046.5	14422.5	7834.16	2087.48	1244.16	5340.04	14419.6	19647.7	21294.6	21226	14334.2	11786.7	19717.8	26470.1	25927	20922.7	15659.7	14554.1	14348.8	13042.6	11453.9
TSS_00061	163	102.52	270.48	285.48	129.52	31	0	16	100	159	160	125	123	100	17	36	100	147.12	201.2	208.56	98.8	36.72	597.04	1152.36	2340.36	4524.96	7855.88	8137.68	3506.72	879.92	4552.92	18136.6	21615	20844.5	27820.3	24734.6	18820.8	15408.8	12900.8	10481.5	6267.96	7506.36	19301.8	25925.2	27736.4	30950.4	27532.1	24064.3	23357.2	19393.3
TSS_00064	259	398	313	186	166	164	290	332	383	715	791	1390	3167	4000	4195	5740	7241	6276	4805	4166	3864	3838	5195	12838	21729	20189	13002	8633	6783	7394	6329	3432	2562	2566	2411	1954	1082	464	479	720	633	423	259	90	211	261	154	244	278	188
TSS_00067	534	972.88	1989	3044.48	3378.64	4815.68	6962.56	12685.7	18168.8	18538.2	17982.4	17858	23269.5	21468.6	8565.28	3991.76	6597.04	8900.64	8482.36	6299.96	7095.52	7814.16	4665.16	1560	3294.08	9427.24	15889.2	18427.1	13953.2	7125.12	12113.7	26356.8	29950.6	26384.9	22064	18418.6	23554.2	23031.2	16128.9	15227.4	15429.6	13861.7	12280.6	11832.4	9277.32	6033.12	4613.52	3669.08	3678.28	3287.16
TSS_00069	100	112	100	94	107.2	240.8	359.8	329.2	305	264	128	36	172	218.4	222.6	181.6	5.4	50	405	705.6	803.2	1845.8	4175.4	3565	3932.8	12495.2	21169.4	21984.2	16784.4	13385.2	12870.6	11794.4	10127.6	7442.2	4676	2295.8	769.6	333.6	313	374	440	279	359	350	74	0	0	0	0	0
TSS_00070	216	207	84	0	72	257	407	243	21	134	200	162.88	211.6	410.08	1098	1764.24	2009.08	3343.6	8273.84	12598.7	12826.8	13170.5	17433.4	17452.3	11884.6	13889.4	18946.2	24540.5	23955.7	15430.4	13606.2	14255.1	15487.4	19138.9	17974.2	12270.2	7798.76	6598.92	6015.96	4959.52	3714.68	2878.8	2468.4	2062.88	1951.6	1157.2	649.64	728.56	745.04	599.28
TSS_00072	117	23	0	0	10.92	158.08	201.04	228.96	188.04	81.96	216	231	165	166	223.48	946.28	3458.96	8348.84	13604.9	14519.9	11354.5	6600.24	3276.2	5584.8	13217.9	15887.7	11949.8	13338.4	19923.4	25665.3	25401	20346	14964.7	11160.9	9986.88	8288.92	5284.36	2968.72	1340.48	368.4	132.4	67.6	156	342	244	150	300	150.52	88.48	103.64
TSS_00073	264	292	136	22	100	149	259	229	60	100	112	160	237	140	32	0	149.04	382.76	442.16	639.32	1433.32	2614.36	3920.04	4444.36	4318.08	5088.96	5276.24	3977.2	1904.68	471.84	256.44	126.2	110.64	215.92	378.8	340.08	210.56	124.72	194.28	174.28	5.72	0	132.04	365.96	367.96	142.44	237.6	291.6	62.4	80
TSS_00076	341	267	601	1369	2784	4389	5213	8397	11415	11697	12631	16652	21348	21109	21842	23229	26495	34672	36644	25529	12417	7434	3575	1478	7454	17720	21664	20127	13721	5777	4183	4552	3894	3124	2165	1250	691	489	512	167	0	0	10	100	111	188	457	412	122	69
TSS_00077	700.64	1116.84	1484.56	1730.28	1520.84	1013.16	728.44	869.52	1034.4	912.92	507.08	409.12	1340.24	2719.44	3745.12	3902.52	4411.44	5786.64	7188.44	6483.12	3524.32	2417.44	4447.56	8060.24	10383.8	12429.6	11359.5	6745.32	8391.72	15717.6	18977.6	17402.4	15831.5	13485.2	11617.4	7714.4	5633.84	8917.6	8592.16	7659.8	7408.64	4917.92	3584.24	2461.36	1856.56	3057.64	2467.8	756.76	515.08	574.56
